"","year","site","min","mean","max","sd","se","n"
"91",1990,"Hare",27,56.40540541,130,21.08673814,3.466638396,37
"92",1991,"Hare",31,55.18918919,107,17.98739966,2.957110288,37
"93",1992,"Hare",26,52.71428571,110,16.78553549,2.837273347,35
"94",1993,"Hare",28,55.61764706,165,23.54237277,4.03748362,34
"95",1994,"Hare",32.5,64.56451613,163,26.91243267,4.833615598,31
"96",1995,"Hare",30,54.3125,97,15.49336486,2.73886584,32
"97",1996,"Hare",30,48.87096774,72,10.12831653,1.819099349,31
"98",1997,"Hare",28,49.48387097,82,11.6128405,2.085727726,31
"99",1998,"Hare",21,55,80,14.16097925,2.543386955,31
"100",1999,"Hare",34,49.58064516,68,9.182498547,1.649225425,31
"101",2000,"Hare",32,49.67741935,80,11.45174542,2.056794195,31
"102",2001,"Hare",32,60.3,200,29.28945909,5.347499147,30
"103",2002,"Hare",22,49.38888889,75,14.07284164,2.708319636,27
"104",2003,"Hare",27,52.37931034,110,17.55484018,3.259851984,29
"105",2004,"Hare",29,50.55172414,90,15.89156606,2.950989734,29
"106",2005,"Hare",38.5,52.44642857,66,7.621046985,1.440242504,28
"107",2006,"Hare",39,57.51724138,112,16.64893967,3.091630482,29
"108",2007,"Hare",35,54.04166667,88,14.05727157,2.869428544,24
"109",2008,"Hare",30,47.8,78,14.34471447,2.868942895,25
"110",2009,"Hare",29,48.74,88,16.43745722,3.287491445,25
"111",2010,"Hare",33,58.92,110,20.25446453,4.050892906,25
"112",2011,"Hare",31,52.44318182,110,13.36091832,2.014234224,44
"113",2012,"Hare",20,54.63414634,109,14.03701553,2.19221352,41
"114",2013,"Hare",36,52.52777778,78,10.00924176,1.66820696,36
"115",2014,"Hare",37,63.65384615,110,18.47580538,3.623403546,26
"116",2015,"Hare",37,63.875,140,22.17981242,4.95955683,20
"117",2016,"Hare",40,71.56521739,139,23.24147172,4.846181858,23
"118",2017,"Hare",42,76.09090909,170,34.41609409,7.337535914,22
"119",2018,"Hare",45,77.36363636,165,33.46290833,7.134316027,22
"120",2019,"Hare",36,72.85714286,175,36.86364837,8.044307575,21
